Permissions and features,"Access level

​","API calls

​",Status,Do We use,Detailed Description How We Use
"Page Public Metadata Access

The Page Public Metadata Access allows your app access to the Pages Search API and to read public data for Pages for which you lack the pages_read_engagement permission and the pages_read_user_content permission . The allowed usage for this feature is to analyze engagement with public Pages by viewing Like and follower counts, or aggregate public-facing About Page information from multiple, disparate pages. You may also use this permission to request analytics insights to improve your app and for marketing or advertising purposes, through the use of aggregated and de-identified or anonymized information (provided such data cannot be re-identified).


…


Full description

Requirements","Standard access
Standard access",Active (35.911K),No App Review requested,,
"Page Public Content Access

The Page Public Content Access feature allows your app access to the Pages Search API and to read public data for Pages for which you lack the pages_read_engagement permission and the pages_read_user_content permission . Readable data includes business metadata, public comments and posts.


…


Full description

Requirements","Standard access
Standard access",Active (35.879K),No App Review requested,,
"pages_manage_metadata

The pages_manage_metadata permission allows your app to subscribe and receive webhooks about activity on the Page, and to update settings on the Page.


…


Full description

Requirements","Standard access
Standard access",Active (17.818K),No App Review requested,,
"public_profile

The public_profile permission allows an app to read the Default Public Profile Fields on the User node. This permission is automatically granted to all apps.


…


Full description

Requirements","Standard access
Standard access",Active (212),Verification required,,
"Business Asset User Profile Access

The Business Asset User Profile Access feature allows your app to read the User Fields for users engaging with your business assets such as id, ids_for_business, name, and picture.


…


Full description

Requirements","Standard access
Standard access",Active (1),No App Review requested,,
"Meta oEmbed Read

The Meta oEmbed Read feature allows your app to get embed HTML and basic metadata for public Facebook and Instagram pages, posts, and videos.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_manage_upcoming_events

The instagram_manage_upcoming_events permission allows an app to read, create, and update upcoming events on behalf of Instagram accounts administered by people using the app.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_business_manage_messages

The instagram_business_manage_messages permission allows an app to access messages on an Instagram professional account.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_business_manage_comments

The instagram_business_manage_comments permission allows an app to access comments on an Instagram professional account, as well as public posts and Instagram Stories where that account is tagged or mentioned in comments.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_branded_content_ads_brand

The instagram_branded_content_ads_brand permission allows an app to read Instagram posts where the app user's Instagram account is tagged as a paid partner, and an app user to read, request, and revoke permissions to run Partnership Ads.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_manage_events

The instagram_manage_events permission allows an app permission to log events (e.g., purchase, add-to-cart, leads) on behalf of Instagram accounts administered by the app’s users.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_branded_content_brand

The instagram_branded_content_brand permission allows your app to add, remove and view creators from a specific brand’s approved creators list.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_branded_content_creator

The instagram_branded_content_creator permission allows your app to read and change the boost status of a creator’s specific piece of content.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"email

The email permission allows your app to read a person's primary email address.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),Verification required,,
"commerce_account_read_settings

The commerce_account_read_settings permission allows your app to read commerce account settings.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),,,
"pages_user_locale

The pages_user_locale permission allows your app to access a user's locale through the Page your app is connected to.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"pages_user_timezone

The pages_user_timezone permission grants your app access to a user's time zone through the Page your app is connected to.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"Page Mentions

The Page Mentioning feature allows your app mention any Facebook Page when publishing posts on the Pages managed by your app.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"commerce_account_read_reports

The commerce_account_read_reports permission allows your app to read finance reporting data to build custom tax, cash reconciliation and reimbursement reports for a commerce account.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),,,
"Live Video API

The Live Video API feature allows an app to manage live videos to Pages, Groups and User timelines when combined with the correct matching permission.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"commerce_account_manage_orders

The commerce_account manage_orders permission allows your app to read and update commerce account orders.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),,,
"manage_fundraisers

The manage_fundraisers permission allows an app to create, update, and read a fundraiser and its donations on behalf of a user.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_shopping_tag_products

The instagram_shopping_tag_products permission allows an app to tag Instagram media with product tags and appeal product rejections.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"Human Agent

The Human Agent feature allows your app to have a human agent respond to user messages using the human_agent tag within 7 days of a user's message.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"user_messenger_contact

The user_messenger_contact permission allows a business to contact a person via Messenger upon their approval or initiation of a chat thread with the business's Page.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_manage_comments

The instagram_manage_comments permission allows your app to create, delete and hide comments on behalf of the Instagram account linked to a Page. Your app can also read and respond to public media and comments that a business has been photo tagged or @mentioned in.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"pages_messaging

The pages_messaging permission allows your app to manage and access Page conversations in Messenger.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"instagram_manage_messages

The instagram_manage_messages permission allows business users to read and respond to Instagram Direct messages.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"commerce_account_read_orders

The commerce_account_read_orders permission allows your app to read commerce account orders.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),,,
"Instagram Public Content Access

The Instagram Public Content Access feature allows your app to access Instagram Graph API's Hashtag Search endpoints.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"Ads Management Standard Access

The Ads Management Standard Access feature allows your app to access the Marketing API.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
"pages_user_gender

The pages_user_gender permission allows your app to access a user's gender through the Page your app is connected to.


…


Full description

Requirements","Standard access
Standard access",Ready to use (0),No App Review requested,,
Your app only needs advanced access to the following permissions and features if your business provides services of a Tech Provider. Business verification and access verification are required. Learn about access verification | Learn about Tech Providers,,,,,
​,,,,,
Permissions and features,"Access level

​","API calls

​",Status,,
"pages_read_engagement

The pages_read_engagement permission allows your app to read content (posts, photos, videos, events) posted by the Page, read followers data (including name, PSID), and profile picture, and read metadata and other insights about the Page.


…


Full description

Requirements","Standard access
Standard access",Active (36.281K),No App Review requested,,
"pages_show_list

The pages_show_list permission allows your app to access the list of Pages a person manages.


…


Full description

Requirements","Standard access
Standard access",Active (35.616K),No App Review requested,,
"ads_management

The ads_management permission allows your app to both read and manage the Ads account it owns, or has been granted access to, by the Ad account owner.


…


Full description

Requirements","Standard access
Standard access",Active (816),No App Review requested,,
"business_management

The business_management permission allows your app to read and write with the Business Manager API.


…


Full description

Requirements","Standard access
Standard access",Active (125),No App Review requested,,
"pages_manage_ads

The pages_manage_ads permission allows your app to manage ads associated with the Page.


…


Full description

Requirements","Standard access
Standard access",Active (44),No App Review requested,,
