Name,Content,Type
In Person Outbound Email #1,"Subject: Hey {{FirstName}}, You were referred to us

Hey {{FirstName}},

I’ll keep short and sweet, as I know you’re very busy (very real email here by the way). 
I also intend to text and call you.

I'm an Associate Producer for a 2x Emmy Nominated National TV series, ​about real estate and lifestyles. I’ve been asked to set up a personal meeting with you and our CEO, Craig Sewing (also, Inman News Nominee for Most Influential in Real Estate).  

Here is a personal video from Craig explaining in more detail:
[[VIDEO-LINK]]
{{IMAGE1.gif))

Reason for the outreach, we are launching a series called Selling [[State]]…
Positive stories, highlighting the different areas and neighborhoods of [[State]].

Will be airing on HGTV, and other major networks.  

The show touches on real estate, but dives deep into the communities, culture, and lifestyle that make places like Illinois and the micro markets…ie- {{Neighborhood_1}} etc in addition to plenty of other areas around there I’m not mentioning, that are great places to live.  We are looking for real estate experts from all areas to share the stories.
Through a little bit of research, you were referred to us as someone he should connect with about possibly being on the show as a community expert. My intention is to connect you for an exploratory conversation in person next week.

If you’d like to warm up to the show/media model:  [[Event-Link]], provides some preliminary info, Craig will talk through with you.  I’m sure you have questions, Craig has set aside these days/times next week to connect with you and a handful of others I'm reaching out to.  
He’d love to meet with you.  Just an exploratory conversation, to share the show and concept.

Quick note, the agents we align into the show tend to get listing referrals from consumers.
Craig can explain how that all works in conversation with you.

The meeting times available are listed below. If you are interested and would like to attend, please email me back with which day works best and I will add you to the RSVP list.
Dates/Times:
[[Date1]][[Time1]]
[[Date2]][[Time2]]

Location: 
[[Hotel Name]]
[[Hotel Address]]}


Thanks!
[[Associate Name]]
Associate Director
[[Associate email]]
[[Associate Phone]]",Email
EMAIL - CZ Outbound #1,"Subject: Hey {{FirstName}}, You were referred to us

Hey {{FirstName}},

I’ll keep short and sweet, as I know you’re very busy (very real email here by the way). 
I also intend to text and call you.

I'm an Associate Producer for a 2x Emmy Nominated National TV series, ​about real estate and lifestyles. I’ve been asked to set up a personal meeting with you and our CEO, Craig Sewing (also, Inman News Nominee for Most Influential in Real Estate).  

Here is a personal video from Craig explaining in more detail:
[[VIDEO-LINK]]
{{IMAGE1.gif))


Reason for the outreach, we are launching a series called Selling [[State]]…
Positive stories, highlighting the different areas and neighborhoods of [[State]].

Will be airing on HGTV, and other major networks.  

The show touches on real estate, but dives deep into the communities, culture, and lifestyle that make places like Illinois and the micro markets…ie- {{Neighborhood_1}} etc in addition to plenty of other areas around there I’m not mentioning, that are great places to live.  We are looking for real estate experts from all areas to share the stories.

Through a little bit of research, you were referred to us as someone he should connect with about possibly being on the show as a community expert. My intention is to connect you for an exploratory conversation on zoom next week.

If you’d like to warm up to the show/media model:  THIS LINK, provides some preliminary info, Craig will talk through with you.  I’m sure you have questions, Craig has set aside these days/times next week to connect with you and a handful of others I'm reaching out to.  
He’d love to meet with you.  Just an exploratory conversation, to share the show and concept.

Quick note, the agents we align into the show tend to get listing referrals from consumers.
Craig can explain how that all works in conversation with you.

The zoom meeting information is below. If you are interested and would like to attend, you can self-register or respond to this email with which date works best for you and I will add you to the RSVP list and send a confirmation email.


Dates/Times:
[[Date1]][[Time1]][[Calendly Link]]
[[Date2]][[Time2]][[Calendly Link]]
[[Date3]][[Time3]][[Calendly Link]]


Thanks!

[[Associate Name]]
Associate Producer
[[Associate email]]
[[Associate Phone]]

",Email
SMS -  Text #1 - Monday before roadshow,"Hello [FirstName], I wanted to make sure I had the correct email address for you because I'm about to send you an important invitation to have a conversation with our Executive Producer (you could also experiment with CEO here as well) next week.  Please let me know if you didn't get the note or text me back if there's a better email address than the one I sent it to {{Email}}  Thanks, [[Associate Name]].",SMS
Voicemail Message #1 - Tues before,"Hi - my name is NAME.  I'm with ADTV Network.  We are launching a new show in {{City}} focusing on real estate, lifestyle and culture.  We are already airing in other markets across the country and are excited to come to your area.  My CEO Craig Sewing is flying into town/hosting a web meeting next week and would love to meet with you about it.  I sent you an email with all the details yesterday. If you didn't receive it, please text me with your email address at this number YOUR NUMBER and I'll be happy to re-send. Thanks, and I hope to see you there!",Voicemail
Email #2 In Person,"Hi {{FirstName}},



I just wanted to check in as I sent you an email earlier this week and wanted to make sure you received it.


I'm a producer for The American Dream, an EMMY nominated and TELLY award winning national TV show centered around real estate and lifestyle. We are in the process of launching our shows Selling New Orleans and would like to meet with you to discuss potentially being considered as a market expert to host in your city and surrounding markets. The email I sent outlines all the details, so I'll keep this note short in case you did see it and maybe wrote it off as spam. Let me know if you didn't receive it and I am happy to send it again if needed.


Our CEO Craig Sewing will be flying into town next week to meet with agents we feel would be a good fit and would like to meet with you if available.  He created a personalized message explaining further so you can see the sincerity of this correspondence.


Watch Craig’s Video Message [[VIDEO-LINK]]


The meeting times available are listed below. If you are interested and would like to attend, please email me back with which day works best and I will add you to the RSVP list.

Dates/Times:

Dates/Times:
[[Date1]][[Time1]]
[[Date2]][[Time2]]

Location: 
[[Hotel Name]]
[[Hotel Address]]}


Please respond to this email, and let me know if you're able to attend so I can add you to the RSVP list.  If it's not for you, no worries - just let me know so I can reach out to others more interested. Thank you so much, and have a wonderful rest of your day!

[[Associate Name]]
Associate Producer
[[Associate email]]
[[Associate Phone]]",Email
Email #2 - Zoom - Wednesday before roadshow,"Hi {{FirstName}},



I just wanted to check in as I sent you an email earlier this week and wanted to make sure you received it.



I'm a producer for The American Dream, an EMMY nominated and TELLY award winning national TV show centered around real estate and lifestyle. We are in the process of launching our shows Selling [[State]] and would like to meet with you to discuss potentially being considered as a market expert to host in your city and surrounding markets. The email I sent outlines all the details, so I'll keep this note short in case you did see it and maybe wrote it off as spam. Let me know if you didn't receive it and I am happy to send it again if needed.



Our CEO Craig Sewing will be hosting zoom meetings next week to meet with agents we feel would be a good fit and would like to meet with you if available.  He created a personalized message explaining further so you can see the sincerity of this correspondence.



[Watch Craig’s Video Message]


The zoom meeting information is below. If you are interested and would like to attend, you can self-register or respond to this email with which date works best for you and I will add you to the RSVP list and send a confirmation email.


Tuesday, February 11th at 11am Central - link to register
Friday, February 14th at 1pm Central - link to register
Friday, February 21st at 1pm Central - link to register



Please respond to this email, and let me know if you're able to attend so I can add you to the RSVP list.  If it's not for you, no worries - just let me know so I can reach out to others more interested. Thank you so much, and have a wonderful rest of your day!",Email
SMS - Thur/Fri Before Roadshow,"Hi {{FirstName}} this is [[Associate Name]] with American Dream TV. I wanted to shoot you a quick text to confirm you received the email invitation for the ADTV Network meetings this week and next! We will be available at the following dates and times:

Dates/Times:
[[Date1]][[Time1]]
[[Date2]][[Time2]]

Our executive show producer and CEO, Craig Sewing, who has a background in Real Estate, created a quick video to explain the details of the meeting: [[VIDEO-LINK]]

If you're interested in attending, feel free to respond to this text or email me at [[Associate email]], and I can get you scheduled!
We look forward to hearing from you!",SMS
Confirmation Email (In Person),"Subject: Meeting Confirmation with ADTV - Tomorrow, (date)


Hi {{firstname}}!

We are looking forward to meeting you tomorrow. Your confirmation is for {{datetime}}.

Location:


Meeting Room:

Please arrive 7-12 minutes early - We want to make sure we have enough time together to learn about each other, the show and answer your questions.

Wishing you the best tomorrow, {{firstname}}!  Just bring your authentic self and you'll be great!

",Email
Confirmation email (CZ),"Subject: Zoom meeting with ADTV tomorrow, (date)

Hi {{FirstName}},

We are looking forward to meeting you via Zoom tomorrow! 

Your confirmation is for {{DateTime}}.

Here is the link to join.

Please arrive at the waiting room on time - We want to make sure you have enough time together to learn about each other, the show, and answer your questions.

Wishing you the best tomorrow!  ",Email
Confirmation text (in person),"Good Morning Person first name! This is Evan with ADTV! I just spoke with Craig... he got in late last night (sounded like a rough trip) BUT he's looking forward to meeting you today!  
 
Just sending the location directly to your phone so it's convenient to click on for navigation. See the front desk for directions to the meeting room.
 
Location:

Meeting Room:

 
Lastly, Craig recorded a video for you this morning with some more information about the meeting - you can view it by clicking here: 
 
Wishing you the best at your meeting today!",SMS
Confirmation text (CZ),"Hello from ADTV! Craig is looking forward to meeting you via zoom today at (time)
Watch this video from Craig: 
Here is the link to join: ",SMS
